workout_id,workout_name,start_time,end_time,duration_mins,nth_workout,estimated_volume_kg,exercise_count,exercises_performed
Workout_146,Legs,2025-08-06 00:05:03,2025-08-06 01:15:22,70.31666666666666,146,6905.0,7,"Warm Up, Leg Press (Machine), Leg Extension (Machine), Walking Lunge (Dumbbell), Sumo Squat (Dumbbell), Lying Leg Curl (Machine), Seated Calf Raise"
Workout_147,Back,2025-08-08 23:57:23,2025-08-09 01:11:01,73.63333333333334,147,7708.5,8,"Warm Up, Lat Pulldown (Cable), Iso-Lateral High Row (Machine), Dumbbell Row, Back Extension (Weighted Hyperextension), Seated Row (Machine), Bicep Curl (Dumbbell), Rope Cable Curl"
Workout_148,Chest,2025-08-10 00:09:41,2025-08-10 01:21:59,72.3,148,7490.0,7,"Warm Up, Incline Bench Press (Barbell), Bench Press (Barbell), Iso-Lateral Chest Press (Machine), Chest Press (Machine), Seated Dip Machine, Spinning"
Workout_149,Shoulder,2025-08-11 00:06:59,2025-08-11 01:11:44,64.75,149,7335.0,8,"Warm Up, Overhead Press (Dumbbell), Upright Row (Barbell), Rear Delt Reverse Fly (Dumbbell), Plate Front Raise, Face Pull, Shrug (Dumbbell), Treadmill"
Workout_150,Legs,2025-08-13 00:50:31,2025-08-13 01:54:38,64.11666666666666,150,8330.0,6,"Warm Up, Leg Press (Machine), Leg Extension (Machine), Lying Leg Curl (Machine), Squat (Dumbbell), Spinning"
Workout_151,Chest,2025-08-16 00:11:12,2025-08-16 01:11:48,60.6,151,5905.0,6,"Warm Up, Chest Press (Machine), Iso-Lateral Chest Press (Machine), Chest Fly (Machine), Bench Press (Barbell), Treadmill"
Workout_152,Back,2025-08-17 00:13:39,2025-08-17 01:22:12,68.55,152,8151.0,9,"Warm Up, Lat Pulldown (Cable), Seated Row (Machine), T Bar Row, Iso-Lateral High Row (Machine), Back Extension (Weighted Hyperextension), Bicep Curl (Machine), Bicep Curl (Barbell), Hammer Curl (Dumbbell)"
Workout_153,Chest,2025-08-23 00:28:21,2025-08-23 01:46:28,78.11666666666666,153,8165.0,8,"Warm Up, Iso-Lateral Chest Press (Machine), Bench Press (Barbell), Chest Press (Machine), Chest Fly (Machine), Seated Dip Machine, Triceps Extension (Dumbbell), Spinning"
Workout_154,Shoulder,2025-08-25 00:12:59,2025-08-25 00:59:41,46.7,154,4655.0,6,"Warm Up, Overhead Press (Dumbbell), Upright Row (Barbell), Lateral Raise (Dumbbell), Face Pull, Front Raise (Dumbbell)"
Workout_155,Back,2025-08-26 00:24:51,2025-08-26 01:30:39,65.8,155,6094.5,6,"Warm Up, T Bar Row, Lat Pulldown (Cable), Dumbbell Row, Iso-Lateral High Row (Machine), Back Extension (Weighted Hyperextension)"
Workout_156,Legs,2025-08-27 00:20:24,2025-08-27 01:22:45,62.35,156,9065.0,8,"Warm Up, Leg Press (Machine), Squat (Machine), Sumo Squat (Dumbbell), Leg Extension (Machine), Lying Leg Curl (Machine), Seated Calf Raise, Walking Lunge (Dumbbell)"
Workout_157,Chest,2025-08-28 00:33:43,2025-08-28 01:44:08,70.41666666666667,157,8425.0,9,"Warm Up, Iso-Lateral High Row (Machine), Bench Press (Dumbbell), Chest Press (Machine), Chest Fly (Machine), Incline Bench Press (Barbell), Triceps Extension (Dumbbell), Triceps Pushdown, Elliptical Trainer"
Workout_158,Back,2025-08-30 00:27:00,2025-08-30 01:43:41,76.68333333333334,158,7735.0,9,"Warm Up, Iso-Lateral High Row (Machine), T Bar Row, Back Extension (Weighted Hyperextension), Dumbbell Row, Seated Row (Machine), Bicep Curl (Machine), Hammer Curl (Dumbbell), Spinning"
